cpt_code,description,category,contrast
A0021,Outside state ambulance serv,Other,Unspecified
A0080,Noninterest escort in non er,Other,Unspecified
A0090,Interest escort in non er,Other,Unspecified
A0100,Nonemergency transport taxi,Other,Unspecified
A0110,Nonemergency transport bus,Other,Unspecified
A0120,Noner transport mini-bus,Other,Unspecified
A0130,Noner transport wheelch van,Other,Unspecified
A0140,Nonemergency transport air,Other,Unspecified
A0160,Noner transport case worker,Other,Unspecified
A0170,Transport parking fees/tolls,Other,Unspecified
A0180,Noner transport lodgng recip,Other,Unspecified
A0190,Noner transport meals recip,Other,Unspecified
A0200,Noner transport lodgng escrt,Other,Unspecified
A0210,Noner transport meals escort,Other,Unspecified
A0225,Neonatal emergency transport,Other,Unspecified
A0380,Basic life support mileage,Other,Unspecified
A0382,Basic support routine suppls,Other,Unspecified
A0384,Bls defibrillation supplies,Other,Unspecified
A0390,Advanced life support mileag,Other,Unspecified
A0392,Als defibrillation supplies,Other,Unspecified
A0394,Als iv drug therapy supplies,Other,Unspecified
A0396,Als esophageal intub suppls,Other,Unspecified
A0398,Als routine disposble suppls,Other,Unspecified
A0420,Ambulance waiting 1/2 hr,Other,Unspecified
A0422,Ambulance 02 life sustaining,Other,Unspecified
A0424,Extra ambulance attendant,Other,Unspecified
A0425,Ground mileage,Other,Unspecified
A0426,Als 1,Other,Unspecified
A0427,Als1-emergency,Other,Unspecified
A0428,Bls,Other,Unspecified
A0429,Bls-emergency,Other,Unspecified
A0430,Fixed wing air transport,Other,Unspecified
A0431,Rotary wing air transport,Other,Unspecified
A0432,Pi volunteer ambulance co,Other,Unspecified
A0433,Als 2,Other,Unspecified
A0434,Specialty care transport,Other,Unspecified
A0435,Fixed wing air mileage,Other,Unspecified
A0436,Rotary wing air mileage,Other,Unspecified
A0888,Noncovered ambulance mileage,Other,Unspecified
A0998,Ambulance response/treatment,Other,Unspecified
A0999,Unlisted ambulance service,Other,Unspecified
A2001,"Innovamatrix ac, per sq cm",Other,Unspecified
A2002,Mirragen adv wnd mat per sq,Other,Unspecified
A2004,"Xcellistem, 1 mg",Other,Unspecified
A2005,"Microlyte matrix, per sq cm",Other,Unspecified
A2006,Novosorb synpath per sq cm,Other,Unspecified
A2007,"Restrata, per sq cm",Other,Unspecified
A2008,"Theragenesis, per sq cm",Other,Unspecified
A2009,"Symphony, per sq cm",Other,Unspecified
A2010,"Apis, per square centimeter",Other,Unspecified
A2011,"Supra sdrm, per sq cm",Other,Unspecified
A2012,"Suprathel, per sq cm",Other,Unspecified
A2013,"Innovamatrix fs, per sq cm",Other,Unspecified
A2014,Omeza collag per 100 mg,Other,Unspecified
A2015,"Phoenix wnd mtrx, per sq cm",Other,Unspecified
A2016,"Permeaderm b, per sq cm",Other,Unspecified
A2017,"Permeaderm glove, each",Other,Unspecified
A2018,"Permeaderm c, per sq cm",Other,Unspecified
A2019,Kerecis marigen shld sq cm,Other,Unspecified
A2020,Ac5 wound system,Other,Unspecified
A2021,Neomatrix per sq cm,Other,Unspecified
A2022,Innovabrn/innovamatx xl sqcm,Other,Unspecified
A2023,"Innovamatrix pd, 1 mg",Other,Unspecified
A2024,Resolve or xenopatch sq cm,Other,Unspecified
A2025,Miro3d per cubic cm,Other,Unspecified
A2026,"Restrata minimatrix, 5 mg",Other,Unspecified
A2027,Matriderm per sq cm,Other,Unspecified
A2028,Micromatrix flex per mg,Other,Unspecified
A2029,Mirotract matrix sheet,CT,Unspecified
A4100,Skin sub fda clrd as dev nos,Other,Unspecified
A4206,1 cc sterile syringe&needle,Other,Unspecified
A4207,2 cc sterile syringe&needle,Other,Unspecified
A4208,3 cc sterile syringe&needle,Other,Unspecified
A4209,5+ cc sterile syringe&needle,Other,Unspecified
A4210,Nonneedle injection device,CT,Unspecified
A4211,Supp for self-adm injections,CT,Unspecified
A4212,Non coring needle or stylet,Other,Unspecified
A4213,20+ cc syringe only,Other,Unspecified
A4215,Sterile needle,Other,Unspecified
A4216,"Sterile water/saline, 10 ml",Other,Unspecified
A4217,"Sterile water/saline, 500 ml",Other,Unspecified
A4218,Sterile saline or water,Other,Unspecified
A4220,Infusion pump refill kit,Other,Unspecified
A4221,Supp non-insulin inf cath/wk,Other,Unspecified
A4222,Infusion supplies with pump,Other,Unspecified
A4223,Infusion supplies w/o pump,Other,Unspecified
A4224,Supply insulin inf cath/wk,Other,Unspecified
A4225,Sup/ext insulin inf pump syr,Other,Unspecified
A4226,Weekly supply maint cgs pump,Other,Unspecified
A4230,Infus insulin pump non needl,Other,Unspecified
A4231,Infusion insulin pump needle,Other,Unspecified
A4232,Syringe w/needle insulin 3cc,Other,Unspecified
A4233,Alkalin batt for glucose mon,Other,Unspecified
A4234,J-cell batt for glucose mon,Other,Unspecified
A4235,Lithium batt for glucose mon,Other,Unspecified
A4236,Silvr oxide batt glucose mon,Other,Unspecified
A4238,Adju cgm supply allowance,Other,Unspecified
A4239,Non-adju cgm supply allow,Other,Unspecified
A4244,Alcohol or peroxide per pint,Other,Unspecified
A4245,Alcohol wipes per box,Other,Unspecified
A4246,Betadine/phisohex solution,Other,Unspecified
A4247,Betadine/iodine swabs/wipes,Other,Unspecified
A4248,Chlorhexidine antisept,Other,Unspecified
A4250,Urine reagent strips/tablets,Other,Unspecified
A4252,Blood ketone test or strip,Other,Unspecified
A4253,Blood glucose/reagent strips,Other,Unspecified
A4255,Glucose monitor platforms,Other,Unspecified
A4256,Calibrator solution/chips,Other,Unspecified
A4257,Replace lensshield cartridge,Other,Unspecified
A4258,Lancet device each,Other,Unspecified
A4259,Lancets per box,Other,Unspecified
A4261,Cervical cap contraceptive,Other,Unspecified
A4262,Temporary tear duct plug,CT,Unspecified
A4263,Permanent tear duct plug,CT,Unspecified
A4264,Intratubal occlusion device,Other,Unspecified
A4265,Paraffin,Other,Unspecified
A4266,Diaphragm,Other,Unspecified
A4267,Male condom,Other,Unspecified
A4268,Female condom,Other,Unspecified
A4269,Spermicide,Other,Unspecified
A4270,Disposable endoscope sheath,Other,Unspecified
A4271,Home lancing/test cartridges,Other,Unspecified
A4280,Brst prsths adhsv attchmnt,Other,Unspecified
A4281,Replacement breastpump tube,Other,Unspecified
A4282,Replacement breastpump adpt,Other,Unspecified
A4283,Replacement breastpump cap,Other,Unspecified
A4284,Replcmnt breast pump shield,Other,Unspecified
A4285,Replcmnt breast pump bottle,Other,Unspecified
A4286,Replcmnt breastpump lok ring,Other,Unspecified
A4287,Disp col sto bag breast milk,Other,Unspecified
A4290,Sacral nerve stim test lead,Other,Unspecified
A4300,Cath impl vasc access portal,Other,Unspecified
A4301,Implantable access syst perc,Other,Unspecified
A4305,Drug delivery system >=50 ml,Other,Unspecified
A4306,Drug delivery system <=50 ml,Other,Unspecified
A4310,Insert tray w/o bag/cath,Other,Unspecified
A4311,Catheter w/o bag 2-way latex,Other,Unspecified
A4312,Cath w/o bag 2-way silicone,Other,Unspecified
A4313,Catheter w/bag 3-way,Other,Unspecified
A4314,Cath w/drainage 2-way latex,Other,Unspecified
A4315,Cath w/drainage 2-way silcne,Other,Unspecified
A4316,Cath w/drainage 3-way,Other,Unspecified
A4320,Irrigation tray,Other,Unspecified
A4321,Cath therapeutic irrig agent,Other,Unspecified
A4322,Irrigation syringe,Other,Unspecified
A4326,Male external catheter,Other,Unspecified
A4327,Fem urinary collect dev cup,CT,Unspecified
A4328,Fem urinary collect pouch,CT,Unspecified
A4330,Stool collection pouch,CT,Unspecified
A4331,Extension drainage tubing,Other,Unspecified
A4332,Lube sterile packet,Other,Unspecified
A4333,Urinary cath anchor device,Other,Unspecified
A4334,Urinary cath leg strap,Other,Unspecified
A4335,Incontinence supply,Other,Unspecified
A4336,Urethral insert,Other,Unspecified
A4337,Incontinent rectal insert,CT,Unspecified
A4338,Indwelling catheter latex,Other,Unspecified
A4340,Indwelling catheter special,Other,Unspecified
A4341,Iduc valve pat inst repl,Other,Unspecified
A4342,Iduc valve sply repl,Other,Unspecified
A4344,Cath indw foley 2 way silicn,Other,Unspecified
A4346,Cath indw foley 3 way,Other,Unspecified
A4349,Disposable male external cat,Other,Unspecified
A4351,Straight tip urine catheter,Other,Unspecified
A4352,Coude tip urinary catheter,Other,Unspecified
A4353,Intermittent urinary cath,Other,Unspecified
A4354,Cath insertion tray w/bag,Other,Unspecified
A4355,Bladder irrigation tubing,Other,Unspecified
A4356,Ext ureth clmp or compr dvc,Other,Unspecified
A4357,Bedside drainage bag,Other,Unspecified
A4358,Urinary leg or abdomen bag,Other,Unspecified
A4360,Disposable ext urethral dev,Other,Unspecified
A4361,Ostomy face plate,Other,Unspecified
A4362,Solid skin barrier,Other,Unspecified
A4363,"Ostomy clamp, replacement",Other,Unspecified
A4364,"Adhesive, liquid or equal",Other,Unspecified
A4366,Ostomy vent,Other,Unspecified
A4367,Ostomy belt,Other,Unspecified
A4368,Ostomy filter,Other,Unspecified
A4369,Skin barrier liquid per oz,Other,Unspecified
A4371,Skin barrier powder per oz,Other,Unspecified
A4372,Skin barrier solid 4x4 equiv,Other,Unspecified
A4373,Skin barrier with flange,Other,Unspecified
A4375,Drainable plastic pch w fcpl,Other,Unspecified
A4376,Drainable rubber pch w fcplt,Other,Unspecified
A4377,Drainable plstic pch w/o fp,Other,Unspecified
A4378,Drainable rubber pch w/o fp,Other,Unspecified
A4379,Urinary plastic pouch w fcpl,Other,Unspecified
A4380,Urinary rubber pouch w fcplt,Other,Unspecified
A4381,Urinary plastic pouch w/o fp,Other,Unspecified
A4382,Urinary hvy plstc pch w/o fp,Other,Unspecified
A4383,Urinary rubber pouch w/o fp,Other,Unspecified
A4384,Ostomy faceplt/silicone ring,Other,Unspecified
A4385,Ost skn barrier sld ext wear,Other,Unspecified
A4387,Ost clsd pouch w att st barr,Other,Unspecified
A4388,Drainable pch w ex wear barr,Other,Unspecified
A4389,Drainable pch w st wear barr,Other,Unspecified
A4390,Drainable pch ex wear convex,Other,Unspecified
A4391,Urinary pouch w ex wear barr,Other,Unspecified
A4392,Urinary pouch w st wear barr,Other,Unspecified
A4393,Urine pch w ex wear bar conv,Other,Unspecified
A4394,Ostomy pouch liq deodorant,Other,Unspecified
A4395,Ostomy pouch solid deodorant,Other,Unspecified
A4396,Peristomal hernia supprt blt,Other,Unspecified
A4398,Ostomy irrigation bag,Other,Unspecified
A4399,Ostomy irrig cone/cath w brs,Other,Unspecified
A4400,Ostomy irrigation set,Other,Unspecified
A4402,Lubricant per ounce,Other,Unspecified
A4404,Ostomy ring each,Other,Unspecified
A4405,Nonpectin based ostomy paste,CT,Unspecified
A4406,Pectin based ostomy paste,CT,Unspecified
